Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Broker is starting...
Entities started.
0.0: Broker: Cloud Resource List received with 1 resource(s)
0.0: Broker: Trying to Create VM #0 in Datacenter_0
0.1: Broker: VM #0 has been created in Datacenter #2, Host #0
0.1: Broker: Sending cloudlet 244 to VM #0
0.1: Broker: Sending cloudlet 245 to VM #0
0.1: Broker: Sending cloudlet 246 to VM #0
0.1: Broker: Sending cloudlet 247 to VM #0
0.1: Broker: Sending cloudlet 248 to VM #0
0.1: Broker: Sending cloudlet 249 to VM #0
0.1: Broker: Sending cloudlet 250 to VM #0
0.1: Broker: Sending cloudlet 251 to VM #0
0.1: Broker: Sending cloudlet 252 to VM #0
0.1: Broker: Sending cloudlet 253 to VM #0
0.1: Broker: Sending cloudlet 254 to VM #0
0.1: Broker: Sending cloudlet 255 to VM #0
0.1: Broker: Sending cloudlet 256 to VM #0
0.1: Broker: Sending cloudlet 257 to VM #0
0.1: Broker: Sending cloudlet 258 to VM #0
0.1: Broker: Sending cloudlet 259 to VM #0
0.1: Broker: Sending cloudlet 260 to VM #0
0.1: Broker: Sending cloudlet 261 to VM #0
0.1: Broker: Sending cloudlet 262 to VM #0
0.1: Broker: Sending cloudlet 263 to VM #0
0.1: Broker: Sending cloudlet 264 to VM #0
0.1: Broker: Sending cloudlet 265 to VM #0
0.1: Broker: Sending cloudlet 266 to VM #0
0.1: Broker: Sending cloudlet 267 to VM #0
0.1: Broker: Sending cloudlet 268 to VM #0
0.1: Broker: Sending cloudlet 269 to VM #0
0.1: Broker: Sending cloudlet 270 to VM #0
0.1: Broker: Sending cloudlet 271 to VM #0
0.1: Broker: Sending cloudlet 272 to VM #0
0.1: Broker: Sending cloudlet 273 to VM #0
0.1: Broker: Sending cloudlet 274 to VM #0
0.1: Broker: Sending cloudlet 275 to VM #0
0.1: Broker: Sending cloudlet 276 to VM #0
0.1: Broker: Sending cloudlet 277 to VM #0
0.1: Broker: Sending cloudlet 278 to VM #0
0.1: Broker: Sending cloudlet 279 to VM #0
0.1: Broker: Sending cloudlet 280 to VM #0
0.1: Broker: Sending cloudlet 281 to VM #0
0.1: Broker: Sending cloudlet 282 to VM #0
